Issue Title,Issue Description,Pull Number,Pull Description
AMQ-6949: SocketTimeoutException when using HTTP transport connector,"I reported and fixed AMQ-6949 roughly a year ago and have been running my fix without any issues ever since.
",362,"I reported and fixed AMQ-6949 roughly a year ago and have been running my fix without any issues ever since.
"
AMQ-7216 - Update Rome dependency,Tested Atom + RSS feeds in webconsole work after the change.,361,Tested Atom + RSS feeds in webconsole work after the change.
Switch to using a https URL in the mqtt pom,,360,
AMQ-7211 STOMP: Do not clear pending ACKs on COMMIT,"This PR first adds a test that proves the behavior is broken: c3729b0

When you run this test against master it will fail:

```
-------------------------------------------------------
 T E S T S
-------------------------------------------------------
Running org.apache.activemq.transport.stomp.Stomp12Test
Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 62.016 sec <<< FAILURE! - in org.apache.activemq.transport.stomp.Stomp12Test
testClientIndividualAckPrefetchTransaction(org.apache.activemq.transport.stomp.Stomp12Test)  Time elapsed: 61.822 sec  <<< FAILURE!
java.lang.AssertionError: null
	at org.junit.Assert.fail(Assert.java:86)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.junit.Assert.assertTrue(Assert.java:52)
	at org.apache.activemq.transport.stomp.Stomp12Test.testClientIndividualAckPrefetchTransaction(Stomp12Test.java:413)


Results :

Failed tests: 
  Stomp12Test.testClientIndividualAckPrefetchTransaction:413 null

Tests run: 1, Failures: 1, Errors: 0, Skipped: 0
```

The test output shows that it only took 4 messages to trigger this condition:

```
2019-05-20 21:54:48,710 [me-limited test] - INFO  Stomp12Test                    - Broker sent: MESSAGE
expires:0
destination:/queue/org.apache.activemq.transport.stomp.Stomp12Test.testClientIndividualAckPrefetchTransaction
JMSXUserID:system
ack:ID:eborgstrom-NW3081-55336-1558414488397-6:5
subscription:1
priority:4
message-id:ID:eborgstrom-NW3081-55336-1558414488397-5:1:-1:1:5
timestamp:1558414488648

4
2019-05-20 21:54:48,711 [0.1:55337@55324] - WARN  ProtocolConverter              - Exception occurred processing: ACK -> org.apache.activemq.transport.stomp.ProtocolException: Unexpected ACK received for message-id [null]
2019-05-20 21:54:48,712 [0.1:55337@55324] - DEBUG ProtocolConverter              - Exception detail
org.apache.activemq.transport.stomp.ProtocolException: Unexpected ACK received for message-id [null]
	at org.apache.activemq.transport.stomp.ProtocolConverter.onStompAck(ProtocolConverter.java:476)
	at org.apache.activemq.transport.stomp.ProtocolConverter.onStompCommand(ProtocolConverter.java:251)
	at org.apache.activemq.transport.stomp.StompTransportFilter.onCommand(StompTransportFilter.java:85)
	at org.apache.activemq.transport.TransportSupport.doConsume(TransportSupport.java:83)
	at org.apache.activemq.transport.tcp.TcpTransport.doRun(TcpTransport.java:233)
	at org.apache.activemq.transport.tcp.TcpTransport.run(TcpTransport.java:215)
	at java.lang.Thread.run(Thread.java:748)
2019-05-20 21:54:48,716 [me-limited test] - INFO  Stomp12Test                    - Broker sent: ERROR
message:Unexpected ACK received for message-id [null]
content-type:text/plain

org.apache.activemq.transport.stomp.ProtocolE...d.java:748)
```

Which is the exception I reported in https://issues.apache.org/jira/browse/AMQ-7211

The fix for this (be19dcaa3) is simply to NOT clear pending ACKs on transaction COMMIT & ABORT.

Looking at the ticket referenced in the commit that added the `pedingAcks.clear()` lines (52d95ee01 / https://issues.apache.org/jira/browse/AMQ-5423) I believe that changing the `this.pedingAcks.get` to `this.pedingAcks.remove` is the real solution to the memory leak that prompted the change and that clearing the acks at the end of a transaction is not needed and incorrect behavior.

CC @tabish121 -- since you commited 52d95ee01 and worked on AMQ-5423",359,"This PR first adds a test that proves the behavior is broken: c3729b0

When you run this test against master it will fail:

```
-------------------------------------------------------
 T E S T S
-------------------------------------------------------
Running org.apache.activemq.transport.stomp.Stomp12Test
Tests run: 1, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 62.016 sec <<< FAILURE! - in org.apache.activemq.transport.stomp.Stomp12Test
testClientIndividualAckPrefetchTransaction(org.apache.activemq.transport.stomp.Stomp12Test)  Time elapsed: 61.822 sec  <<< FAILURE!
java.lang.AssertionError: null
	at org.junit.Assert.fail(Assert.java:86)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.junit.Assert.assertTrue(Assert.java:52)
	at org.apache.activemq.transport.stomp.Stomp12Test.testClientIndividualAckPrefetchTransaction(Stomp12Test.java:413)


Results :

Failed tests: 
  Stomp12Test.testClientIndividualAckPrefetchTransaction:413 null

Tests run: 1, Failures: 1, Errors: 0, Skipped: 0
```

The test output shows that it only took 4 messages to trigger this condition:

```
2019-05-20 21:54:48,710 [me-limited test] - INFO  Stomp12Test                    - Broker sent: MESSAGE
expires:0
destination:/queue/org.apache.activemq.transport.stomp.Stomp12Test.testClientIndividualAckPrefetchTransaction
JMSXUserID:system
ack:ID:eborgstrom-NW3081-55336-1558414488397-6:5
subscription:1
priority:4
message-id:ID:eborgstrom-NW3081-55336-1558414488397-5:1:-1:1:5
timestamp:1558414488648

4
2019-05-20 21:54:48,711 [0.1:55337@55324] - WARN  ProtocolConverter              - Exception occurred processing: ACK -> org.apache.activemq.transport.stomp.ProtocolException: Unexpected ACK received for message-id [null]
2019-05-20 21:54:48,712 [0.1:55337@55324] - DEBUG ProtocolConverter              - Exception detail
org.apache.activemq.transport.stomp.ProtocolException: Unexpected ACK received for message-id [null]
	at org.apache.activemq.transport.stomp.ProtocolConverter.onStompAck(ProtocolConverter.java:476)
	at org.apache.activemq.transport.stomp.ProtocolConverter.onStompCommand(ProtocolConverter.java:251)
	at org.apache.activemq.transport.stomp.StompTransportFilter.onCommand(StompTransportFilter.java:85)
	at org.apache.activemq.transport.TransportSupport.doConsume(TransportSupport.java:83)
	at org.apache.activemq.transport.tcp.TcpTransport.doRun(TcpTransport.java:233)
	at org.apache.activemq.transport.tcp.TcpTransport.run(TcpTransport.java:215)
	at java.lang.Thread.run(Thread.java:748)
2019-05-20 21:54:48,716 [me-limited test] - INFO  Stomp12Test                    - Broker sent: ERROR
message:Unexpected ACK received for message-id [null]
content-type:text/plain

org.apache.activemq.transport.stomp.ProtocolE...d.java:748)
```

Which is the exception I reported in https://issues.apache.org/jira/browse/AMQ-7211

The fix for this (be19dcaa3) is simply to NOT clear pending ACKs on transaction COMMIT & ABORT.

Looking at the ticket referenced in the commit that added the `pedingAcks.clear()` lines (52d95ee01 / https://issues.apache.org/jira/browse/AMQ-5423) I believe that changing the `this.pedingAcks.get` to `this.pedingAcks.remove` is the real solution to the memory leak that prompted the change and that clearing the acks at the end of a transaction is not needed and incorrect behavior.

CC @tabish121 -- since you commited 52d95ee01 and worked on AMQ-5423"
AMQ-7201 added shebang to generated broker admin script,,358,
[AMQ-7199] Replace Math.Random with Random.nextDouble,"[AMQ-7199](https://issues.apache.org/jira/browse/AMQ-7199) For better control over randomness and comparatively less performance overhead, Random.nextDouble can be used instead of Math.random. Such a sample instance is showed in the attached commit. ",357,"[AMQ-7199](https://issues.apache.org/jira/browse/AMQ-7199) For better control over randomness and comparatively less performance overhead, Random.nextDouble can be used instead of Math.random. Such a sample instance is showed in the attached commit. "
AMQ-7196 - During startup ActiveMq load all the scheduleDB.data on me…,…mory causing OOM,356,…mory causing OOM
Updating Spring + Camel versions,Update the Spring + Camel versions to remove a few CVE reports.,355,Update the Spring + Camel versions to remove a few CVE reports.
The session has already been closed,"Hello, when does this happen?

Execution of JMS message listener failed, and no ErrorHandler has been set. org.springframework.jms.UncategorizedJmsException: Uncategorized exception occurred during JMS processing; nested exception is javax.jms.JMSException: The session has already been closed  at org.springframework.jms.support.JmsUtils.convertJmsAccessException(JmsUtils.java:311)  at com.ishansong.queue.client.amq.builder.impl.ConsumerMessageListenerContainerBuilder$1.onMessage(ConsumerMessageListenerContainerBuilder.java:109)  at org.springframework.jms.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:736)  at org.springframework.jms.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:696)  at org.springframework.jms.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:674)  at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.doReceiveAndExecute(AbstractPollingMessageListenerContainer.java:318)  at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.receiveAndExecute(AbstractPollingMessageListenerContainer.java:257)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.invokeListener(DefaultMessageListenerContainer.java:1189)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.executeOngoingLoop(DefaultMessageListenerContainer.java:1179)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.run(DefaultMessageListenerContainer.java:1076)  at java.lang.Thread.run(Thread.java:745) Caused by: javax.jms.JMSException: The session has already been closed  ... 10 common frames omitted ",354,"Hello, when does this happen?

Execution of JMS message listener failed, and no ErrorHandler has been set. org.springframework.jms.UncategorizedJmsException: Uncategorized exception occurred during JMS processing; nested exception is javax.jms.JMSException: The session has already been closed  at org.springframework.jms.support.JmsUtils.convertJmsAccessException(JmsUtils.java:311)  at com.ishansong.queue.client.amq.builder.impl.ConsumerMessageListenerContainerBuilder$1.onMessage(ConsumerMessageListenerContainerBuilder.java:109)  at org.springframework.jms.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:736)  at org.springframework.jms.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:696)  at org.springframework.jms.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:674)  at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.doReceiveAndExecute(AbstractPollingMessageListenerContainer.java:318)  at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.receiveAndExecute(AbstractPollingMessageListenerContainer.java:257)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.invokeListener(DefaultMessageListenerContainer.java:1189)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.executeOngoingLoop(DefaultMessageListenerContainer.java:1179)  at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.run(DefaultMessageListenerContainer.java:1076)  at java.lang.Thread.run(Thread.java:745) Caused by: javax.jms.JMSException: The session has already been closed  ... 10 common frames omitted "
AMQ-7177 - Fixing to change the method name to createSessionInternal,https://issues.apache.org/jira/browse/AMQ-7177,353,https://issues.apache.org/jira/browse/AMQ-7177
Applied fix for data writer thread dying an early death,,352,
ActiveMQMessageConsumer - do not log whole message including headers in WARN,"Message can contain large number of headers, logging them in warning drastically increases log size. ",351,"Message can contain large number of headers, logging them in warning drastically increases log size. "
AMQ-7163 - If the broker had an unclean shutdown and number of free p…,"…ages is Zero after the recovery, the next shutdown will also be 'unclean'",350,"…ages is Zero after the recovery, the next shutdown will also be 'unclean'"
AMQ-7159 - Adding a new attribute on PersistenceAdapterViewMBean to s…,…how information about Storage write latency,349,…how information about Storage write latency
close DataByteArrayOutputStream buff of WriteBatch,,348,
Use secure repository url,Should be obvious,347,Should be obvious
Modified code to not read from file every time but use last modified timestamp and cache filedata.,As per the comment given by the earlier developer the code could be optimized by checking only the modified date. Made the changes for the optimization.,346,As per the comment given by the earlier developer the code could be optimized by checking only the modified date. Made the changes for the optimization.
AMQ-7265 - Enable X-XSS-Protection + X-Content-Type-Options headers for the webc…,"…onsole.

It's good security practice to set these two headers to make XSS attacks and content sniffing attacks harder.",345,"…onsole.

It's good security practice to set these two headers to make XSS attacks and content sniffing attacks harder."
AMQ-7263 - Disable directory listing for the webconsole,"We should disable directory listing for the web console, as a good security practise.",344,"We should disable directory listing for the web console, as a good security practise."
AMQ-7143 - Temporary transaction file (PageFile) being opened and clo…,"…sed many times, leading poor performance",343,"…sed many times, leading poor performance"
Keep track of free pages during Pagefile checkpoints,,342,
Update copyright year,,341,
Upgrade Jackson to 2.9.8,We should upgrade Jackson - 2.9.6 has several security advisories against it.,340,We should upgrade Jackson - 2.9.6 has several security advisories against it.
AMQ-7138 Hardcoded paths to a karaf etc directory in a file features.xml,,339,
AMQ-7137 - Implement abort() properly in the LoginModules. Also fix a bug in Lda…,…pLoginModule relating to Logout,338,…pLoginModule relating to Logout
AMQ-7135 : do a purge before deleting the destination,"From the web console, this will do a purge of the destination before deleting.",337,"From the web console, this will do a purge of the destination before deleting."
AMQ-7132 - ActiveMQ reads lots of index pages upon startup (after a g…,…raceful or ungraceful shutdown),336,…raceful or ungraceful shutdown)
AMQ-7131: Add connectionTimeout to avoid starvation,,335,
AMQ-7125 Stomp subscribe empty destination fix,"Fix for: The Broker does not send error frame back to the client, when an empty destination is specified in a stomp subscribe frame",334,"Fix for: The Broker does not send error frame back to the client, when an empty destination is specified in a stomp subscribe frame"
AMQ-7118: fix issue where the ackMessageFileMapLocation gets written on every checkpoint," fix issue where the ackMessageFileMapLocation gets written on every checkpoint, even if it hasnt changed and include the use of the Atomic boolean.  ",327," fix issue where the ackMessageFileMapLocation gets written on every checkpoint, even if it hasnt changed and include the use of the Atomic boolean.  "
AMQ-7118: fix issue with the unchanged acknowledgement map.,"If the kahadb ack message file map has not changed, then there is no reason to write it again.  So all the kahadb store tests and activemq unit test suite pass. ",326,"If the kahadb ack message file map has not changed, then there is no reason to write it again.  So all the kahadb store tests and activemq unit test suite pass. "
AMQ-7264 - Set the secure processing feature on the TransformerFactory,It's good security practice to set the secure processing feature on TransformerFactory instances (as well).,325,It's good security practice to set the secure processing feature on TransformerFactory instances (as well).
AMQ-7112 - Show duplex network bridges in the remote broker console,,324,
Update OWasp dependency check plugin version,Update OWasp dependency check plugin version,323,Update OWasp dependency check plugin version
NO-JIRA: CronParserTest is failing in Indian StandardTime ,"For the current implementation of CronParserTest, the ""mvn clean package"" is failing for me at CronParserTest.testgetNextTimeMinutes .
I've put a  Fix to Assert the nextMinute rather than converting to  seconds.",322,"For the current implementation of CronParserTest, the ""mvn clean package"" is failing for me at CronParserTest.testgetNextTimeMinutes .
I've put a  Fix to Assert the nextMinute rather than converting to  seconds."
Enable secure processing on all DocumentBuilderFactory.newInstance(),Good security practices say that all DocumentBuilderFactory instances should enable the secure processing feature and disable doctypes to avoid XXE attacks.,321,Good security practices say that all DocumentBuilderFactory instances should enable the secure processing feature and disable doctypes to avoid XXE attacks.
